intype,insubtype,surreason,outtype,animaltype,sex,bites,petsize,color,breed,mixed,breed2,days_in,in_season,out_season
STRAY,FIELD,STRAY,ADOPTION,BIRD,F,N,MED,BLACK,CHICKEN,False,NM,4,WINTER,WINTER
OWNER SUR,EUTH REQ,AGG PEOPLE,EUTH,DOG,M,Y,X-LRG,FAWN,BELG MALINOIS,True,CANE CORSO,13,FALL,WINTER
STRAY,FIELD,ABANDON,ADOPTION,DOG,N,N,SMALL,BLACK,CHIHUAHUA LH,True,Unknown,17,SPRING,SPRING
STRAY,OTC,STRAY,RTO,DOG,N,N,SMALL,TRICOLOR,BEAGLE,True,Unknown,8,FALL,FALL
FOSTER,RETURN,FOSTER RET,ADOPTION,DOG,S,N,SMALL,WHITE,LABRADOR RETR,True,Unknown,3,FALL,FALL
STRAY,OTC,STRAY,RTO,DOG,N,N,LARGE,BLACK / WHITE,LABRADOR RETR,True,POINTER,5,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,LARGE,WHITE / GRAY,DOMESTIC SH,False,NM,13,WINTER,WINTER
STRAY,OTC,STRAY,ADOPTION,DOG,S,N,MED,BR BRINDLE,PIT BULL,False,NM,18,SPRING,SPRING
STRAY,OTC,STRAY,TRANSFER,DOG,N,N,LARGE,BR BRINDLE / WHITE,ALASKAN HUSKY,True,PLOTT HOUND,8,FALL,FALL
STRAY,OTC,STRAY,RTF,CAT,N,N,SMALL,BLACK,DOMESTIC MH,False,NM,11,FALL,FALL
STRAY,OTC,STRAY,ADOPTION,DOG,N,N,LARGE,RED,STAFFORDSHIRE,False,NM,42,WINTER,SPRING
STRAY,OTC,STRAY,ADOPTION,CAT,N,N,LARGE,WHITE / BLACK,DOMESTIC SH,False,NM,59,WINTER,SPRING
STRAY,OTC,STRAY,RTO,DOG,S,N,MED,BLACK,WELSH CORGI PEM,True,Unknown,2,SPRING,SPRING
STRAY,OTC,STRAY,RTO,DOG,S,N,MED,BR BRINDLE / WHITE,PIT BULL,False,NM,1,WINTER,WINTER
FOSTER,RETURN,STRAY,ADOPTION,DOG,S,N,PUPPY,TAN,PLOTT HOUND,True,Unknown,3,FALL,FALL
STRAY,OTC,STRAY,ADOPTION,DOG,S,N,LARGE,BROWN / WHITE,PIT BULL,False,NM,14,SPRING,SPRING
